0,1,2,3,4,5,6,7,8,9
Western Europe,Other Non-Animal Derived Proteins,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Other Non-Animal Derived Proteins,Pet Care,Tonnes,93.748,95.568,96.475,96.345,96.493,96.905
Western Europe,Protein Hydrolysates,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Protein Hydrolysates,Pet Care,Tonnes,21.932,22.360,22.577,22.564,22.628,22.760
Western Europe,Other Proteins,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Other Proteins,Pet Care,Tonnes,57.496,58.697,59.283,59.239,59.493,59.900
Western Europe,Raising Agents,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Raising Agents,Pet Care,Tonnes,17.832,18.233,18.442,18.491,18.584,18.717
Western Europe,Ammonium Bicarbonate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Ammonium Bicarbonate,Pet Care,Tonnes,48,48,47,47,47,47
Western Europe,Baking Powder,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Baking Powder,Pet Care,Tonnes,1.424,1.463,1.487,1.480,1.463,1.454
Western Europe,Disodium Diphosphate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Disodium Diphosphate,Pet Care,Tonnes,37,38,42,42,42,42
Western Europe,Monocalcium Phosphate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Monocalcium Phosphate,Pet Care,Tonnes,3.043,3.125,3.176,3.198,3.239,3.288
Western Europe,Sodium Bicarbonate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Sodium Bicarbonate,Pet Care,Tonnes,3.350,3.409,3.440,3.436,3.415,3.404
Western Europe,Yeast,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Yeast,Pet Care,Tonnes,7.679,7.849,7.921,7.940,8.010,8.107
Western Europe,Other Raising Agents,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Raising Agents,Pet Care,Tonnes,2.252,2.301,2.331,2.348,2.369,2.376
Western Europe,Skin Benefit Agents,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Skin Benefit Agents,Pet Care,Tonnes,113.112,115.368,116.369,116.159,116.614,117.311
Western Europe,Amino acids,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Amino acids,Pet Care,Tonnes,79.953,81.456,82.053,81.835,82.114,82.535
Western Europe,Collagen,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Collagen,Pet Care,Tonnes,18.130,18.557,18.815,18.819,18.904,19.060
